launching 128 jobs, max_concurrent=6
[1/128] seed 21003 (inhib6_gap0.5) -> exit 0, 232.1s
[2/128] seed 21002 (inhib6_gap0.5) -> exit 0, 234.1s
[3/128] seed 21000 (inhib6_gap0.5) -> exit 0, 236.1s
[4/128] seed 21001 (inhib6_gap0.5) -> exit 0, 236.1s
[5/128] seed 21004 (inhib6_gap0.5) -> exit 0, 236.1s
[6/128] seed 21005 (inhib6_gap0.5) -> exit 0, 236.1s
[7/128] seed 21006 (inhib6_gap0.5) -> exit 0, 266.1s
[8/128] seed 21007 (inhib6_gap0.5) -> exit 0, 270.1s
[9/128] seed 21008 (inhib6_gap1) -> exit 0, 272.1s
[10/128] seed 21010 (inhib6_gap1) -> exit 0, 272.1s
[11/128] seed 21011 (inhib6_gap1) -> exit 0, 272.1s
[12/128] seed 21009 (inhib6_gap1) -> exit 0, 280.2s
[13/128] seed 21012 (inhib6_gap1) -> exit 0, 248.1s
[14/128] seed 21013 (inhib6_gap1) -> exit 0, 252.1s
[15/128] seed 21016 (inhib6_gap1.5) -> exit 0, 248.1s
[16/128] seed 21014 (inhib6_gap1) -> exit 0, 250.1s
[17/128] seed 21015 (inhib6_gap1) -> exit 0, 250.1s
[18/128] seed 21017 (inhib6_gap1.5) -> exit 0, 244.1s
[19/128] seed 21018 (inhib6_gap1.5) -> exit 0, 186.1s
[20/128] seed 21020 (inhib6_gap1.5) -> exit 0, 194.1s
[21/128] seed 21022 (inhib6_gap1.5) -> exit 0, 192.1s
[22/128] seed 21019 (inhib6_gap1.5) -> exit 0, 196.1s
[23/128] seed 21021 (inhib6_gap1.5) -> exit 0, 194.1s
[24/128] seed 21023 (inhib6_gap1.5) -> exit 0, 194.1s
[25/128] seed 21024 (inhib6_gap2) -> exit 0, 292.1s
[26/128] seed 21025 (inhib6_gap2) -> exit 0, 298.1s
[27/128] seed 21026 (inhib6_gap2) -> exit 0, 300.1s
[28/128] seed 21029 (inhib6_gap2) -> exit 0, 298.1s
[29/128] seed 21028 (inhib6_gap2) -> exit 0, 304.1s
[30/128] seed 21027 (inhib6_gap2) -> exit 0, 310.2s
[31/128] seed 21030 (inhib6_gap2) -> exit 0, 304.1s
[32/128] seed 21033 (inhib8_gap0.5) -> exit 0, 298.1s
[33/128] seed 21034 (inhib8_gap0.5) -> exit 0, 298.1s
[34/128] seed 21032 (inhib8_gap0.5) -> exit 0, 306.1s
[35/128] seed 21031 (inhib6_gap2) -> exit 0, 310.2s
[36/128] seed 21035 (inhib8_gap0.5) -> exit 0, 306.1s
