launching 128 jobs, max_concurrent=6
[1/128] seed 24001 (inhib10_gap1.00) -> exit 0, 200.1s
[2/128] seed 24003 (inhib10_gap1.00) -> exit 0, 200.1s
[3/128] seed 24004 (inhib10_gap1.00) -> exit 0, 200.1s
[4/128] seed 24000 (inhib10_gap1.00) -> exit 0, 202.1s
[5/128] seed 24005 (inhib10_gap1.00) -> exit 0, 202.1s
[6/128] seed 24002 (inhib10_gap1.00) -> exit 0, 204.1s
[7/128] seed 24007 (inhib10_gap1.00) -> exit 0, 196.1s
[8/128] seed 24010 (inhib10_gap1.17) -> exit 0, 194.0s
[9/128] seed 24006 (inhib10_gap1.00) -> exit 0, 198.1s
[10/128] seed 24009 (inhib10_gap1.17) -> exit 0, 196.1s
[11/128] seed 24011 (inhib10_gap1.17) -> exit 0, 198.1s
[12/128] seed 24008 (inhib10_gap1.17) -> exit 0, 204.2s
[13/128] seed 24013 (inhib10_gap1.17) -> exit 0, 196.1s
[14/128] seed 24014 (inhib10_gap1.17) -> exit 0, 194.1s
[15/128] seed 24015 (inhib10_gap1.17) -> exit 0, 194.1s
[16/128] seed 24012 (inhib10_gap1.17) -> exit 0, 198.2s
[17/128] seed 24016 (inhib10_gap1.33) -> exit 0, 196.1s
[18/128] seed 24017 (inhib10_gap1.33) -> exit 0, 198.1s
[19/128] seed 24019 (inhib10_gap1.33) -> exit 0, 196.1s
[20/128] seed 24020 (inhib10_gap1.33) -> exit 0, 196.1s
[21/128] seed 24018 (inhib10_gap1.33) -> exit 0, 198.1s
[22/128] seed 24021 (inhib10_gap1.33) -> exit 0, 198.1s
[23/128] seed 24022 (inhib10_gap1.33) -> exit 0, 194.1s
[24/128] seed 24023 (inhib10_gap1.33) -> exit 0, 196.1s
[25/128] seed 24024 (inhib10_gap1.50) -> exit 0, 192.1s
[26/128] seed 24025 (inhib10_gap1.50) -> exit 0, 194.1s
[27/128] seed 24027 (inhib10_gap1.50) -> exit 0, 192.1s
