WARNING    't' is an internal variable of group 'synapses', but also exists in the run namespace with the value array([2.57323284e-03, 9.87430707e-03, 1.04728369e-02, ...,
       2.99998285e+03, 2.99998365e+03, 2.99999977e+03]) * second. The internal variable will be used. [brian2.groups.group.Group.resolve.resolution_conflict]
[t=200s] wall=38s
[t=400s] wall=76s
[t=600s] wall=115s
[t=800s] wall=152s
[t=1000s] wall=187s
[t=1200s] wall=222s
[t=1400s] wall=257s
[t=1600s] wall=292s
[t=1800s] wall=327s
[t=2000s] wall=362s
[t=2200s] wall=398s
[t=2400s] wall=432s
[t=2600s] wall=467s
[t=2800s] wall=502s
[t=3000s] wall=537s
nonstationary seed 30002 -> C:\Users\urawi\OneDrive\Desktop\a wide variety of vscode projects\developing-mind\notebooks\brian2\nonstationary_data\nonstat_reliable_13_1p5_seed30002.json
