WARNING    't' is an internal variable of group 'synapses', but also exists in the run namespace with the value array([0.00000000e+00, 0.00000000e+00, 3.49968524e-04, ...,
       2.99998378e+03, 2.99998975e+03, 3.00000012e+03]) * second. The internal variable will be used. [brian2.groups.group.Group.resolve.resolution_conflict]
[t=200s] wall=35s
[t=400s] wall=69s
[t=600s] wall=103s
[t=800s] wall=137s
[t=1000s] wall=171s
[t=1200s] wall=207s
[t=1400s] wall=241s
[t=1600s] wall=275s
[t=1800s] wall=310s
[t=2000s] wall=344s
[t=2200s] wall=379s
[t=2400s] wall=413s
[t=2600s] wall=448s
[t=2800s] wall=482s
[t=3000s] wall=514s
nonstationary seed 30006 -> C:\Users\urawi\OneDrive\Desktop\a wide variety of vscode projects\developing-mind\notebooks\brian2\nonstationary_data\nonstat_reliable_13_1p5_seed30006.json
