WARNING    't' is an internal variable of group 'synapses', but also exists in the run namespace with the value array([1.86351644e-04, 1.96907086e-03, 3.47090385e-03, ...,
       2.99999737e+03, 2.99999770e+03, 2.99999849e+03]) * second. The internal variable will be used. [brian2.groups.group.Group.resolve.resolution_conflict]
[t=200s] wall=35s
[t=400s] wall=69s
[t=600s] wall=103s
[t=800s] wall=137s
[t=1000s] wall=171s
[t=1200s] wall=206s
[t=1400s] wall=239s
[t=1600s] wall=274s
[t=1800s] wall=308s
[t=2000s] wall=342s
[t=2200s] wall=375s
[t=2400s] wall=409s
[t=2600s] wall=444s
[t=2800s] wall=477s
[t=3000s] wall=508s
nonstationary seed 30107 -> C:\Users\urawi\OneDrive\Desktop\a wide variety of vscode projects\developing-mind\notebooks\brian2\nonstationary_data\nonstat_strong_tight_gate_seed30107.json
