WARNING    't' is an internal variable of group 'synapses', but also exists in the run namespace with the value array([7.79767188e-03, 1.08213523e-02, 1.19682988e-02, ...,
       2.59997884e+03, 2.59998073e+03, 2.59998292e+03]) * second. The internal variable will be used. [brian2.groups.group.Group.resolve.resolution_conflict]
[settle] t=50s gap=[0.37, 0.315, 0.296] top=[0]
[settle] t=100s gap=[0.62, 0.489, 0.405] top=[0]
[settle] t=150s gap=[0.713, 0.55, 0.558] top=[0]
[settle] t=200s gap=[0.74, 0.58, 0.597] top=[0]
[settle] t=250s gap=[0.775, 0.588, 0.597] top=[0]
[settle] t=300s gap=[0.772, 0.595, 0.599] top=[0]
[settle] t=350s gap=[0.747, 0.566, 0.596] top=[0]
[nudge] target=1 fraction=0.1 corr_w 0.783 -> 0.805
[recover frac=0.1] t+50s gap=[0.739, 0.566, 0.592] top=[0]
[recover frac=0.1] t+100s gap=[0.767, 0.586, 0.576] top=[0]
[recover frac=0.1] t+150s gap=[0.754, 0.594, 0.602] top=[0]
[recover frac=0.1] t+200s gap=[0.76, 0.58, 0.587] top=[0]
[nudge] target=1 fraction=0.2 corr_w 0.790 -> 0.832
[recover frac=0.2] t+50s gap=[0.787, 0.572, 0.588] top=[0]
[recover frac=0.2] t+100s gap=[0.791, 0.587, 0.593] top=[0]
[recover frac=0.2] t+150s gap=[0.77, 0.586, 0.581] top=[0]
[recover frac=0.2] t+200s gap=[0.784, 0.597, 0.59] top=[0]
[nudge] target=1 fraction=0.3 corr_w 0.798 -> 0.858
[recover frac=0.3] t+50s gap=[0.751, 0.628, 0.569] top=[0]
[recover frac=0.3] t+100s gap=[0.767, 0.575, 0.578] top=[0]
[recover frac=0.3] t+150s gap=[0.769, 0.576, 0.596] top=[0]
[recover frac=0.3] t+200s gap=[0.753, 0.596, 0.573] top=[0]
[nudge] target=1 fraction=0.4 corr_w 0.800 -> 0.880
[recover frac=0.4] t+50s gap=[0.756, 0.644, 0.578] top=[0]
[recover frac=0.4] t+100s gap=[0.782, 0.6, 0.577] top=[0]
[recover frac=0.4] t+150s gap=[0.781, 0.578, 0.58] top=[0]
[recover frac=0.4] t+200s gap=[0.755, 0.594, 0.596] top=[0]
[nudge] target=1 fraction=0.5 corr_w 0.795 -> 0.898
[recover frac=0.5] t+50s gap=[0.726, 0.638, 0.58] top=[0]
[recover frac=0.5] t+100s gap=[0.715, 0.607, 0.565] top=[0]
[recover frac=0.5] t+150s gap=[0.792, 0.614, 0.579] top=[0]
[recover frac=0.5] t+200s gap=[0.769, 0.582, 0.588] top=[0]
[nudge] target=1 fraction=0.6 corr_w 0.790 -> 0.916
[recover frac=0.6] t+50s gap=[0.794, 0.697, 0.591] top=[0]
[recover frac=0.6] t+100s gap=[0.776, 0.66, 0.584] top=[0]
[recover frac=0.6] t+150s gap=[0.773, 0.652, 0.592] top=[0]
[recover frac=0.6] t+200s gap=[0.787, 0.643, 0.582] top=[0]
perturbation v2 seed 28010 -> C:\Users\urawi\OneDrive\Desktop\a wide variety of vscode projects\developing-mind\notebooks\brian2\perturbation_data\perturbv2dense_reliable_13_1p5_seed28010.json
